alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,23.705271,449.677665,14.853488,0.558961,0.000339
0.200000,23.685794,453.489116,14.836566,0.558227,0.000359
0.400000,24.980072,445.798136,14.563673,0.564984,0.000296
0.600000,27.289451,424.933295,13.777964,0.590459,0.000820
0.800000,31.580999,417.094638,11.303268,0.530843,0.000305
1.000000,52.484893,279.627729,6.628139,0.362500,0.000125
1.200000,74.641306,212.104221,2.581427,0.104397,0.000137
1.400000,79.727645,195.177462,1.129436,0.028155,0.000387
1.600000,88.736600,184.253927,0.784529,0.005322,0.000078
1.800000,89.623412,182.507178,0.693949,0.002233,0.000122
2.000000,85.146936,182.842620,0.660627,0.002152,0.000295
2.200000,88.610808,184.677847,0.649390,0.002018,0.000338
2.400000,89.886161,182.215001,0.641830,0.001533,0.000275
2.600000,83.044836,181.687647,0.641816,0.001919,0.000358
2.800000,89.402195,183.188727,0.638745,0.001607,0.000312
3.000000,89.707754,182.572843,0.636586,0.001680,0.000078
