alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,6.905761,605.434853,8.293509,2.481520,0.000189
0.200000,6.891935,610.304513,8.240647,2.425903,0.000225
0.400000,7.288283,591.117889,8.363094,2.424009,0.000230
0.600000,8.013889,566.642355,8.198245,2.078444,0.000211
0.800000,10.422923,467.398276,8.399450,1.713916,0.000342
1.000000,15.468289,365.158504,6.600154,0.885871,0.000461
1.200000,24.598725,253.247753,3.683482,0.435163,0.000355
1.400000,41.136003,150.204646,1.769157,0.167815,0.000192
1.600000,51.477117,121.931907,0.881778,0.064589,0.000144
1.800000,65.444480,99.972159,0.573674,0.051149,0.000080
2.000000,70.491468,92.878609,0.419639,0.036265,0.000062
2.200000,74.761612,87.600624,0.345138,0.016991,0.000067
2.400000,77.577300,84.409020,0.313574,0.009375,0.000041
2.600000,79.553026,82.341085,0.290682,0.008571,0.000058
2.800000,74.835644,83.101082,0.280646,0.008421,0.000124
3.000000,82.299550,79.553806,0.274433,0.008472,0.000044
