alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,20.941354,536.783501,18.516286,0.551719,4.672000
0.200000,21.526119,522.056022,18.416216,0.569809,4.589753
0.400000,21.854246,529.870983,17.947226,0.563908,4.237658
0.600000,23.841487,519.288422,16.610563,0.610963,3.453417
0.800000,28.237816,477.517151,13.208088,0.541859,2.194237
1.000000,47.559050,312.096620,7.441898,0.396406,0.840273
1.200000,72.871419,217.426469,2.740091,0.138642,0.161954
1.400000,83.104235,186.932823,1.146064,0.027011,0.020861
1.600000,96.821198,168.811937,0.782602,0.004562,0.002722
1.800000,98.270296,166.554701,0.690592,0.002068,0.000765
2.000000,91.271595,170.164102,0.659665,0.001573,0.000327
2.200000,98.594160,166.065820,0.649612,0.001438,0.000153
2.400000,98.611545,166.063264,0.644653,0.001929,0.000146
2.600000,91.599490,170.025452,0.638997,0.001375,0.000265
2.800000,98.677897,165.759776,0.639286,0.001770,0.000085
3.000000,98.759683,165.834797,0.638504,0.001762,0.000133
