alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,4.821933,205.208111,4.720575,0.817473,1.279294
0.200000,4.907689,203.442643,4.703713,0.799294,1.278118
0.400000,5.225173,195.890578,4.634593,0.732517,1.258126
0.600000,6.033536,179.213904,4.386919,0.611678,1.157038
0.800000,8.281230,146.936981,3.633191,0.439109,0.842235
1.000000,17.396843,94.406913,2.001808,0.263103,0.351571
1.200000,53.799545,50.459860,0.650039,0.111082,0.064073
1.400000,89.740768,35.220280,0.240954,0.036788,0.007118
1.600000,104.565079,31.063449,0.157961,0.010352,0.000831
1.800000,108.481141,30.089553,0.138798,0.005277,0.000137
2.000000,108.629487,30.088627,0.132237,0.006031,0.000060
2.200000,109.755149,29.828224,0.129805,0.006469,0.000033
2.400000,108.866048,30.062469,0.128499,0.006706,0.000024
2.600000,109.451270,29.913965,0.128039,0.006777,0.000026
2.800000,109.412725,29.899984,0.127589,0.006784,0.000025
3.000000,108.482264,30.187895,0.127369,0.006952,0.000037
