alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,3.060204,470.651652,6.447901,3.570379,0.087812
0.200000,3.087729,470.433012,6.443059,3.570981,0.091498
0.400000,3.243737,474.059015,6.429478,3.558706,0.096624
0.600000,3.474978,466.249525,6.452160,3.521165,0.103284
0.800000,4.167681,445.765803,6.391299,3.026611,0.106671
1.000000,6.962008,321.302159,5.572168,1.597106,0.080761
1.200000,17.575576,161.089457,3.182589,0.424954,0.031085
1.400000,32.700354,98.185992,1.522593,0.145969,0.008849
1.600000,39.079720,83.434762,0.770308,0.055030,0.002473
1.800000,41.705991,78.190917,0.440782,0.030334,0.000644
2.000000,43.097971,75.852420,0.294297,0.025667,0.000244
2.200000,45.856523,71.289081,0.224437,0.018996,0.000114
2.400000,48.514796,67.265282,0.187019,0.012001,0.000078
2.600000,50.910558,64.175730,0.164869,0.008333,0.000053
2.800000,52.752045,61.950109,0.153628,0.007148,0.000045
3.000000,54.257712,60.211928,0.145617,0.006830,0.000030
