alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,10.383385,1320.212709,27.110998,4.120659,7.409125
0.200000,11.149454,1225.264445,27.806959,4.337821,7.425639
0.400000,10.675400,1304.755211,27.098203,3.854278,7.418137
0.600000,11.313675,1263.847458,26.900618,3.307352,7.390162
0.800000,12.954275,1152.188119,26.183515,2.508367,7.000767
1.000000,16.493184,945.441994,20.902865,1.608842,4.861600
1.200000,29.187351,549.603629,11.995311,0.744216,2.066481
1.400000,39.890400,407.647838,5.399445,0.117962,0.645877
1.600000,48.200418,325.722587,2.699818,0.032175,0.189290
1.800000,56.402876,290.122581,1.592081,0.015276,0.056757
2.000000,57.627602,274.548959,1.086509,0.007669,0.018334
2.200000,64.149469,255.343160,0.899937,0.004971,0.006658
2.400000,62.655043,244.625638,0.789716,0.003763,0.003251
2.600000,69.497579,235.537266,0.739774,0.001997,0.002255
2.800000,69.495622,225.125004,0.705637,0.001377,0.000772
3.000000,75.091378,218.152500,0.689647,0.001843,0.000485
