alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,11.927991,1126.733046,21.062160,4.199145,0.002433
0.200000,12.548922,1070.846827,21.414743,4.218788,0.002669
0.400000,12.201562,1129.358760,20.820879,3.807716,0.002601
0.600000,13.205906,1061.976282,20.791143,3.313831,0.002460
0.800000,15.909330,919.327208,20.629072,2.560621,0.004374
1.000000,19.889133,780.087513,16.548334,1.499834,0.003263
1.200000,34.016264,474.106369,10.231143,0.763918,0.003047
1.400000,41.655575,377.371900,4.940430,0.106652,0.001791
1.600000,50.225712,325.486177,2.670365,0.033440,0.001068
1.800000,51.914072,305.937673,1.527279,0.013211,0.000636
2.000000,57.389474,285.432412,1.135303,0.008010,0.000339
2.200000,57.567885,274.644519,0.901941,0.004508,0.000421
2.400000,62.761172,260.921838,0.799828,0.002184,0.000360
2.600000,63.786069,248.331455,0.743754,0.001814,0.000422
2.800000,68.299460,239.628092,0.714242,0.002156,0.000390
3.000000,66.429687,232.383779,0.689478,0.001338,0.000404
