alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,3.264615,537.908303,7.043674,2.323525,1.959395
0.200000,3.284811,539.750543,6.962796,2.249658,1.959402
0.400000,3.459491,523.497151,6.488879,2.083518,1.636713
0.600000,3.823906,498.276336,6.669186,2.127477,1.591356
0.800000,4.795041,438.196902,6.703654,1.646838,1.761492
1.000000,8.123219,309.442840,5.422687,0.726660,1.452780
1.200000,19.188663,157.490135,3.054429,0.299383,0.557633
1.400000,28.083967,113.607755,1.308205,0.136983,0.198509
1.600000,40.490250,78.541657,0.583804,0.050426,0.049550
1.800000,48.372522,65.021337,0.340072,0.029200,0.017882
2.000000,53.602083,57.707985,0.233085,0.023945,0.005431
2.200000,61.298188,51.463731,0.182721,0.014579,0.001507
2.400000,66.121902,47.798058,0.162148,0.008419,0.000778
2.600000,69.044542,44.750940,0.149768,0.006453,0.000321
2.800000,70.564136,43.630791,0.143768,0.005786,0.000299
3.000000,72.846992,42.325264,0.138002,0.005640,0.000129
