alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,6.456367,667.804868,11.569428,2.795584,3.295763
0.200000,6.292741,699.102351,11.096324,2.447950,3.356720
0.400000,6.539442,690.159797,11.088143,2.362897,3.300932
0.600000,7.460508,620.015359,11.505584,2.379827,3.302276
0.800000,8.857182,574.619247,10.765575,1.546487,3.151514
1.000000,13.449786,427.203240,8.756906,0.871540,2.253268
1.200000,21.587256,290.311427,4.711889,0.437147,0.957718
1.400000,33.985986,186.736929,2.085932,0.209220,0.296299
1.600000,49.714468,126.477473,0.999088,0.072682,0.084956
1.800000,58.080887,105.581722,0.590614,0.050013,0.025029
2.000000,61.218762,98.378802,0.418703,0.036677,0.007667
2.200000,69.182541,89.806248,0.347107,0.018614,0.002438
2.400000,79.971286,81.805374,0.314055,0.011706,0.001152
2.600000,82.161711,79.630225,0.293217,0.008891,0.000547
2.800000,74.972421,80.672294,0.280958,0.008335,0.000721
3.000000,83.860922,77.638386,0.274071,0.008205,0.000232
