alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,9.956108,302.320501,8.160029,0.789578,2.212564
0.200000,10.132598,302.645780,8.132757,0.705119,2.191863
0.400000,11.198742,273.498303,8.006829,0.662241,2.094791
0.600000,12.239809,281.152591,7.483071,0.600903,1.802918
0.800000,15.708261,255.418952,6.080670,0.525897,1.217907
1.000000,25.244783,203.601224,3.377746,0.407243,0.483966
1.200000,50.730900,116.214089,1.178976,0.163335,0.091541
1.400000,94.626415,67.930040,0.472011,0.064371,0.010882
1.600000,92.438489,65.602357,0.313458,0.014439,0.001638
1.800000,102.953286,63.507657,0.275586,0.008085,0.000616
2.000000,91.569943,63.792828,0.265906,0.009375,0.000151
2.200000,109.805361,59.589904,0.259508,0.009830,0.000088
2.400000,92.906358,64.167752,0.257097,0.010227,0.000238
2.600000,109.352322,59.868364,0.256203,0.010595,0.000155
2.800000,92.333943,63.651676,0.255976,0.010596,0.000163
3.000000,109.894908,59.541633,0.254929,0.010263,0.000054
