alpha,throughput,cycles,L1-misses,LLC-misses,dTLB-load-misses
0.000000,37.073705,736.579594,27.874677,0.283143,0.001006
0.200000,40.591348,684.236478,27.863306,0.281016,0.000171
0.400000,41.212831,683.604933,27.171585,0.282139,0.000171
0.600000,39.143095,727.036276,25.088574,0.283773,0.000635
0.800000,44.102798,681.617562,20.334160,0.275742,0.000703
1.000000,49.437113,607.962834,11.735361,0.219256,0.000641
1.200000,65.961763,490.521613,4.806081,0.058333,0.000923
1.400000,75.508149,432.260613,2.225031,0.018341,0.000212
1.600000,77.866385,420.417133,1.564802,0.005383,0.000225
1.800000,78.468314,417.082417,1.386531,0.002941,0.000277
2.000000,77.613368,422.130744,1.322277,0.001622,0.000754
2.200000,78.788614,415.843741,1.304239,0.001449,0.000138
2.400000,74.572961,421.953181,1.290429,0.001337,0.000827
2.600000,77.601736,422.178762,1.282750,0.001169,0.000780
2.800000,77.619975,422.116617,1.279893,0.001553,0.000833
3.000000,49.672180,659.763521,1.298229,0.001606,0.000148
